timestamp,product_id,price,best_bid,best_ask,mid_price,ema_price,ema_mid
2025-06-18T10:36:29.402568Z,BTC-USD,104459,104456,104459,104458,104458,104458
2025-06-18T10:36:29.808769Z,BTC-USD,104459,104459,104459,104459,104458,104458
2025-06-18T10:36:30.023334Z,BTC-USD,104458,104458,104458,104458,104458,104458
2025-06-18T10:36:30.071877Z,BTC-USD,104458,104458,104458,104458,104458,104458
2025-06-18T10:36:30.103201Z,BTC-USD,104458,104458,104459,104459,104458,104458
2025-06-18T10:36:30.281427Z,BTC-USD,104459,104459,104459,104459,104458,104458
2025-06-18T10:36:30.339366Z,BTC-USD,104459,104459,104459,104459,104458,104458
2025-06-18T10:36:30.339366Z,BTC-USD,104459,104459,104459,104459,104458,104458
2025-06-18T10:36:30.733628Z,BTC-USD,104463,104463,104463,104463,104458,104458
2025-06-18T10:36:30.842243Z,BTC-USD,104459,104459,104463,104461,104458,104458
2025-06-18T10:36:31.030505Z,BTC-USD,104463,104463,104463,104463,104459,104459
2025-06-18T10:36:31.030505Z,BTC-USD,104463,104463,104472,104468,104459,104459
2025-06-18T10:36:31.030505Z,BTC-USD,104472,104463,104472,104468,104459,104459
2025-06-18T10:36:31.030505Z,BTC-USD,104472,104463,104472,104468,104460,104460
2025-06-18T10:36:31.416390Z,BTC-USD,104466,104466,104466,104466,104460,104460
2025-06-18T10:36:31.699185Z,BTC-USD,104464,104464,104465,104465,104460,104460
2025-06-18T10:36:31.822430Z,BTC-USD,104470,104465,104470,104467,104461,104460
2025-06-18T10:36:31.822430Z,BTC-USD,104470,104465,104470,104467,104461,104461
2025-06-18T10:36:32.079906Z,BTC-USD,104469,104466,104469,104467,104461,104461
2025-06-18T10:36:32.482179Z,BTC-USD,104467,104467,104469,104468,104462,104461
2025-06-18T10:36:32.693202Z,BTC-USD,104470,104467,104470,104468,104462,104461
2025-06-18T10:36:32.693202Z,BTC-USD,104470,104467,104472,104469,104462,104462
2025-06-18T10:36:32.693202Z,BTC-USD,104472,104467,104472,104469,104463,104462
2025-06-18T10:36:32.693202Z,BTC-USD,104472,104467,104472,104469,104463,104462
2025-06-18T10:36:32.761083Z,BTC-USD,104467,104467,104469,104468,104463,104462
2025-06-18T10:36:33.312182Z,BTC-USD,104469,104469,104471,104470,104463,104463
2025-06-18T10:36:33.312182Z,BTC-USD,104469,104469,104471,104470,104464,104463
2025-06-18T10:36:33.435379Z,BTC-USD,104469,104469,104471,104470,104464,104463
2025-06-18T10:36:33.477768Z,BTC-USD,104471,104462,104471,104466,104464,104463
2025-06-18T10:36:33.477768Z,BTC-USD,104471,104462,104471,104466,104464,104464
2025-06-18T10:36:33.477768Z,BTC-USD,104471,104462,104471,104466,104465,104464
2025-06-18T10:36:33.477768Z,BTC-USD,104471,104462,104472,104467,104465,104464
2025-06-18T10:36:33.477768Z,BTC-USD,104472,104462,104472,104467,104465,104464
2025-06-18T10:36:34.110583Z,BTC-USD,104471,104468,104471,104470,104465,104464
2025-06-18T10:36:34.132309Z,BTC-USD,104468,104468,104471,104470,104465,104464
2025-06-18T10:36:34.276060Z,BTC-USD,104472,104462,104472,104467,104466,104464
2025-06-18T10:36:34.276060Z,BTC-USD,104472,104462,104472,104467,104466,104465
2025-06-18T10:36:34.859331Z,BTC-USD,104468,104468,104468,104468,104466,104465
